32345.0,29600,8100,8086.25,10.260999918,7.20199990273,55.9730000496,6,r_1,i_2,
0,0,8100,8086.25,0,0.453999996185,5.81299996376,8,0,i_2,
32345.0,29600,8086.25,8000,9.03200006485,10.5789999962,45.4100000858,5,r_1,r_2,
0,0,8086.25,8000,0,6.84400010109,35.878000021,7,0,r_2,
0,0,8100,8086.25,0,6.0,73.8410000801,8,0,i_2,
0,0,8100,8086.25,0,3.625,41.3619999886,8,0,i_2,
0,0,8100,8086.25,0,7.78100013733,63.5870001316,8,0,i_2,
32345.0,32000,8100,8086.25,14.1569998264,12.7969999313,39.0650000572,3,r_1,i_2,
0,0,8100,8086.25,0,5.82799983025,68.2019999027,8,0,i_2,
32345.0,32000,0,0,27.6579999924,0,87.5130000114,7,r_1,0,
32345.0,31200,8100,8086.25,10.7660000324,11.1569998264,64.3489999771,4,r_1,i_2,
32345.0,31200,8100,8086.25,7.73500013351,8.28199982643,49.2819998264,4,r_1,i_2,
32345.0,31200,8100,8086.25,10.1890001297,5.56300020218,48.4330000877,4,r_1,i_2,
32345.0,32000,8086.25,8000,28.8150000572,11.7820000648,40.7210001945,2,r_1,r_2,
32345.0,29600,8086.25,8000,5.7349998951,11.8600001335,71.1929998398,5,r_1,r_2,
32345.0,31200,8100,8086.25,8.46899986267,5.73500013351,34.0020000935,4,r_1,i_2,
32345.0,32000,8100,8086.25,21.3450000286,11.0470001698,37.1190001965,3,r_1,i_2,
32345.0,32000,8100,8086.25,14.0320000648,17.4539999962,41.885999918,3,r_1,i_2,
0,0,8100,8086.25,0,9.54800009727,45.8319997787,8,0,i_2,
32345.0,30400,8086.25,8000,14.3439998627,10.7100000381,55.871999979,4,r_1,r_2,
0,0,8100,8086.25,0,5.50100016594,58.9570000172,8,0,i_2,
32345.0,29600,8100,8086.25,8.90699982643,19.2509999275,92.8420000076,6,r_1,i_2,
0,0,8100,8086.25,0,4.68799996376,69.9420001507,8,0,i_2,
0,0,8100,8086.25,0,2.25,36.236000061,8,0,i_2,
0,0,8086.25,8000,0,6.56900000572,53.0260000229,7,0,r_2,
0,0,8086.25,8000,0,8.87599992752,34.8480000496,7,0,r_2,
0,0,0,0,0,0,86.6640000343,12,0,0,
32345.0,30400,8100,8086.25,3.43700003624,3.43700003624,36.0260000229,5,r_1,i_2,
